,sample_id,source,title,journal,author,longitude,latitude,method,material,type,composition,rock_name,sio2,tio2,al2o3,cr2o3,fe2o3,fe2o3t,feo,feot,nio,mno,mgo,cao,na2o,k2o,p2o5,loi,h2o,h2o_m,h2o_p,s,co2,f,cl,ag,as,au,b,ba,be,bi,cd,co,cr,cs,cu,ga,hf,hg,i,ir,k,li,mn,mo,nb,ni,os,pb,pd,pt,rb,re,sb,sc,se,sn,sr,ta,te,th,ti,tl,u,v,w,y,zn,zr,la,ce,pr,nd,sm,eu,gd,tb,dy,ho,er,tm,yb,lu,sr87_sr86,nd143_nd144,pb206_pb204,pb207_pb204,pb208_pb204,hf176_hf177,lu176_hf177,os187_os188,be10_be,he3_he4,rb87_sr86,sm147_nd144,u238_pb206,u235_pb207,th232_pb208
20,KIL-2-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.43,19.67,EMP (EPMA),igneous,volcanic,,tholeiite,51.38,2.64,13.73,,,,,10.11,,,6.64,11.15,2.41,0.47,0.26,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,KIL-2-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.43,19.67,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.478,,,0.128,0.075,0.009,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,KIL-3-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.31,19.75,EMP (EPMA),igneous,volcanic,,tholeiite,51.71,3.25,13.94,,,,,10.64,,,5.77,9.95,2.56,0.6,0.34,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,KIL-3-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.31,19.75,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.597,,,0.105,0.084,0.009,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,KIL-3-19,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.31,19.75,EMP (EPMA),igneous,volcanic,,tholeiite,51.75,3.33,13.98,,,,,11.3,,,5.85,10.02,2.49,0.55,0.36,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,KIL-3-19,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.31,19.75,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.585,,,0.117,0.139,0.01,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ML-1-1,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.78,EMP (EPMA),igneous,volcanic,,tholeiite,52.03,2.16,13.89,,,,,9.69,,,7.05,10.99,2.28,0.33,0.24,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ML-1-1,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.78,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.445,,,0.049,0.124,0.006,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ML-1-3,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.78,EMP (EPMA),igneous,volcanic,,tholeiite,52.45,2.27,13.95,,,,,10.52,,,6.82,10.82,2.3,0.36,0.28,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ML-1-3,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.78,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.188,,,0.03,0.091,0.002,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
